direction,phase,sector,ticker,events,avg_alpha,median_alpha,hit_rate,vol_alpha,consistency_ratio,avg_max_drawdown,alpha_rank,consistency_rank,drawdown_rank,composite_score
Hike,Post-45D,Consumer Discretionary,XLY,13,-0.010456300027332511,0.001235229195931109,0.5384615384615384,0.06283587450937653,-0.1664065330350769,-0.11132898318124584,10.0,10.0,10.0,0.43522727272727274
Hike,Post-45D,Materials,XLB,13,-0.006556182913465893,-0.011553995088991464,0.38461538461538464,0.05744266449038232,-0.11413438028390206,-0.09336292192982845,8.0,9.0,6.0,0.3920454545454546
Hike,Post-45D,Real Estate,XLRE,13,-0.019613327501648466,-0.03504083811376568,0.3076923076923077,0.04617858158629347,-0.4247278029750054,-0.1033645516415082,11.0,11.0,9.0,0.24318181818181817
Hike,Pre-45D,Consumer Staples,XLP,13,0.015251939407146291,0.02586050883658464,0.6923076923076923,0.046350696963118436,0.3290552333934129,-0.06471049910466693,3.0,2.0,1.0,0.8431818181818181
Hike,Pre-45D,Utilities,XLU,13,0.024306142155335126,0.02277099320302134,0.5384615384615384,0.07321004378751124,0.3320055677863351,-0.08132046673533186,1.0,1.0,3.0,0.8215909090909091
Hike,Pre-45D,Health Care,XLV,13,0.013059436576910931,0.02358837850745321,0.6923076923076923,0.04910373225342651,0.2659560888266213,-0.0721503941777876,4.0,3.0,2.0,0.7965909090909091
Hike,Pre-45D,Industrials,XLI,13,0.008943315670345862,0.012154192552537135,0.6923076923076923,0.036340731861123785,0.246096190481875,-0.09010148706716309,5.0,4.0,4.0,0.7579545454545454
Hike,Pre-45D,Energy,XLE,13,0.020220574312649744,-0.023658157154741177,0.46153846153846156,0.12536899115009953,0.161288482320484,-0.1286976167531477,2.0,5.0,9.0,0.6795454545454546
Hike,Pre-45D,Materials,XLB,13,-0.003874710808518226,0.004047337486941416,0.6153846153846154,0.053191804650423995,-0.07284413142180053,-0.10525591133280567,7.0,8.0,5.0,0.6147727272727272
Hike,Pre-45D,Technology,XLK,13,0.007540921564463612,-0.001646992174283879,0.46153846153846156,0.04734133527498555,0.15928831581664576,-0.11425015853140529,6.0,6.0,8.0,0.5818181818181819
Hike,Pre-45D,Real Estate,XLRE,13,-0.004356180684448028,-0.02976469546589655,0.46153846153846156,0.0622925046494959,-0.06993105685762918,-0.11365844150887226,8.0,7.0,7.0,0.48863636363636365
Hike,Pre-45D,Consumer Discretionary,XLY,13,-0.009958809012557789,-0.009117566309154723,0.46153846153846156,0.05482121951669833,-0.181659749643555,-0.12945006276213533,9.0,9.0,10.0,0.3897727272727273
Hike,Pre-45D,Communication Services,XLC,13,-0.021930701467479465,-0.05643680213566804,0.3076923076923077,0.07502589605982696,-0.2923084244137723,-0.1294968794073289,10.0,10.0,11.0,0.23295454545454547
Hike,Pre-45D,Financials,XLF,13,-0.021932263965717843,-0.009958724972741306,0.3076923076923077,0.05438857334857032,-0.40325131944823045,-0.11294835125030635,11.0,11.0,6.0,0.22272727272727275
