event_date,move_bps,direction,phase,sector,ticker,sector_return,benchmark_return,alpha,max_drawdown
2020-03-04,-50.0,Cut,Post-45D,Communication Services,XLC,-0.029390362804470715,-0.07507592769262861,0.04568556488815789,-0.2356518539190875
2020-03-04,-50.0,Cut,Pre-45D,Consumer Discretionary,XLY,-0.04046011412509731,-0.030973472837509952,-0.00948664128758736,-0.1246221387048142
2020-03-04,-50.0,Cut,Post-45D,Consumer Discretionary,XLY,-0.044414385035302706,-0.07507592769262861,0.030661542657325902,-0.2769739373655453
2020-03-04,-50.0,Cut,Pre-45D,Consumer Staples,XLP,-0.0004744639275856555,-0.030973472837509952,0.030499008909924297,-0.1049544765969741
2020-03-04,-50.0,Cut,Post-45D,Consumer Staples,XLP,-0.09560931033898867,-0.07507592769262861,-0.020533382646360065,-0.22637585505588764
2020-03-04,-50.0,Cut,Pre-45D,Energy,XLE,-0.21955602674092622,-0.030973472837509952,-0.18858255390341627,-0.25628400537844154
2020-03-04,-50.0,Cut,Post-45D,Energy,XLE,-0.18870436451002792,-0.07507592769262861,-0.11362843681739931,-0.48694909371764117
2020-03-04,-50.0,Cut,Pre-45D,Financials,XLF,-0.0968476246318124,-0.030973472837509952,-0.06587415179430245,-0.14693645231102526
2020-03-04,-50.0,Cut,Post-45D,Financials,XLF,-0.20816728686671415,-0.07507592769262861,-0.13309135917408554,-0.3591310161603899
2020-03-04,-50.0,Cut,Pre-45D,Health Care,XLV,-0.02233199070668279,-0.030973472837509952,0.00864148213082716,-0.11572625005108095
2020-03-04,-50.0,Cut,Post-45D,Health Care,XLV,-0.006100766443344785,-0.07507592769262861,0.06897516124928382,-0.25010339602437537
2020-03-04,-50.0,Cut,Pre-45D,Industrials,XLI,-0.061660350651757345,-0.030973472837509952,-0.030686877814247393,-0.1425555676954663
2020-03-04,-50.0,Cut,Post-45D,Industrials,XLI,-0.19247764271684198,-0.07507592769262861,-0.11740171502421337,-0.36046019947416297
2020-03-04,-50.0,Cut,Pre-45D,Materials,XLB,-0.07194254831620184,-0.030973472837509952,-0.040969075478691885,-0.14164774476336717
2020-03-04,-50.0,Cut,Post-45D,Materials,XLB,-0.09104229000688702,-0.07507592769262861,-0.01596636231425841,-0.3198339380119277
2020-03-04,-50.0,Cut,Pre-45D,Real Estate,XLRE,0.043195297649515796,-0.030973472837509952,0.07416877048702575,-0.12258495539662295
2020-03-04,-50.0,Cut,Post-45D,Real Estate,XLRE,-0.1769669923978342,-0.07507592769262861,-0.10189106470520559,-0.3601703709714337
2020-03-04,-50.0,Cut,Pre-45D,Technology,XLK,0.020454705356683478,-0.030973472837509952,0.05142817819419343,-0.14680414616878745
2020-03-04,-50.0,Cut,Post-45D,Technology,XLK,0.001148853688933471,-0.07507592769262861,0.07622478138156208,-0.24546767915347223
2020-03-04,-50.0,Cut,Pre-45D,Utilities,XLU,0.06741213878141172,-0.030973472837509952,0.09838561161892168,-0.12397891771300029
2020-03-04,-50.0,Cut,Post-45D,Utilities,XLU,-0.19090320540748196,-0.07507592769262861,-0.11582727771485335,-0.3396415947138399
2020-03-16,-100.0,Cut,Pre-45D,Communication Services,XLC,-0.2600216893329933,-0.2657278080013413,0.005706118668348026,-0.2882945195452795
2020-03-16,-100.0,Cut,Post-45D,Communication Services,XLC,0.28031724410311987,0.22446040741495676,0.0558568366881631,-0.05940117437166337
2020-03-16,-100.0,Cut,Pre-45D,Consumer Discretionary,XLY,-0.296701543667123,-0.2657278080013413,-0.030973735665781654,-0.324818726021496
2020-03-16,-100.0,Cut,Post-45D,Consumer Discretionary,XLY,0.3431766577251507,0.22446040741495676,0.11871625031019395,-0.08910809485802806
2020-03-16,-100.0,Cut,Pre-45D,Consumer Staples,XLP,-0.15837310225571843,-0.2657278080013413,0.10735470574562289,-0.19478305806997764
2020-03-16,-100.0,Cut,Post-45D,Consumer Staples,XLP,0.09072877130706702,0.22446040741495676,-0.13373163610788974,-0.14525490716424327
2020-03-16,-100.0,Cut,Pre-45D,Energy,XLE,-0.5376558274910748,-0.2657278080013413,-0.27192801948973344,-0.5376558274910748
